J_type,N-SIZE,Thk,Filler Size(2.4),Electrode  Size(2.5),Electrode  Size(3.25),Electrode  Size(4)
BW,1,6.35,0.060881305,0,0,0
FW,1,6.35,0,0.064462558,0,0
FW,1.5,6.35,0,0.041109356,0,0
BW,0.75,6.35,0.048668588,0,0,0
FW,0.75,6.35,0,0.051531446,0,0
FW,0.5,6.35,0,0.041109356,0,0
FW,20,6.35,0,0.980448484,0,0
BW,24,6.35,1.111174948,0,0,0
BW,1,6.49,0.060881305,0,0,0
BW,3,6.49,0.162046347,0,0,0
FW,3,6.49,0,0,0.181110623,0
BW,2,6.49,0.109914451,0,0,0
FW,2,6.49,0,0,0.122845563,0
BW,4,6.49,0.208345303,0,0,0
BW,24,6.53,1.111174948,0,0,0
FW,2.5,7.01,0,0,0.218735226,0
FW,2,7.01,0,0,0.155173343,0
FW,1,7.01,0,0,0.085950077,0
FW,0.5,7.01,0,0,0.054812474,0
FW,1.5,7.01,0,0,0.054812474,0
BW,8,7.04,0.516837028,0,0,0
FW,4,7.11,0,0,0.294134545,0
BW,6,7.11,0.397004435,0,0,0
FW,6,7.11,0,0,0.433095747,0
FW,1.5,7.11,0,0,0.054812474,0
FW,0.75,7.11,0,0,0.068708595,0
FW,2,7.11,0,0,0.155173343,0
BW,1.5,7.14,0.050244768,0,0,0
FW,1.5,7.14,0,0,0.054812474,0
FW,1.5,7.47,0,0,0.054812474,0
BW,0.5,7.47,0.050244768,0,0,0
FW,0.5,7.47,0,0,0.054812474,0
FW,0.5,7.62,0,0,0.054812474,0
FW,1.5,7.62,0,0,0.054812474,0
FW,2,7.62,0,0,0.155173343,0
BW,3,7.62,0.209707037,0,0,0
FW,3,7.62,0,0,0.228771313,0
FW,2.5,7.62,0,0,0.218735226,0
BW,10,7.8,0.245,0,0.69,0
FW,6,7.92,0,0,0.433095747,0
FW,4,7.92,0,0,0.294134545,0
BW,16,7.92,0.95866074,0,0,0
FW,16,7.92,0,0,1.045811716,0
FW,12,7.92,0,0,0.833509879,0
BW,14,7.92,0.838828147,0,0,0
FW,3,7.92,0,0,0.228771313,0
FW,1.5,7.92,0,0,0.054812474,0
BW,30,7.92,1.797488887,0,0,0
BW,0.75,8.18,0.073480025,0,0,0
FW,0.75,8.18,0,0,0.088748601,0
BW,2,8.18,0.165949269,0,0,0
FW,2,8.18,0,0,0.200432234,0
BW,6,8.18,0.463171841,0,0,0
BW,8,8.18,0.602976532,0,0,0
FW,8,8.18,0,0,0.728270357,0
BW,12,8.38,0.891392509,0,0,0
BW,4,8.56,0.314560555,0,0,0
FW,4,8.56,0,0,0.379923787,0
BW,3,8.56,0.24465821,0,0,0
BW,4,8.66,0.314560555,0,0,0
BW,2,8.74,0.165949269,0,0,0
FW,2,8.74,0,0,0.200432234,0
FW,1.5,9.27,0,0,0.088308986,0
BW,10,9.27,0.917522791,0,0,0
BW,12,9.52,1.088193453,0,0,0
FW,12,9.52,0,0,1.342877027,0
BW,16,9.52,1.365365296,0,0,0
BW,28,9.52,2.389389267,0,0,0
BW,24,9.52,2.048047944,0,0,0
BW,24,9.53,2.048047944,0,0,0
FW,24,9.53,0,0,2.527378313,0
BW,20,9.53,1.70670662,0,0,0
FW,20,9.53,0,0,2.106148594,0
BW,28,9.53,2.389389267,0,0,0
FW,28,9.53,0,0,2.948608032,0
BW,30,9.53,2.560059929,0,0,0
FW,30,9.53,0,0,3.159222892,0
BW,18,9.53,1.536035958,0,0,0
FW,18,9.53,0,0,1.895533735,0
BW,12,9.53,1.088193453,0,0,0
FW,12,9.53,0,0,1.342877027,0
FW,14,9.53,0,0,1.474304016,0
FW,10,9.53,0,0,1.132262168,0
FW,8,9.53,0,0,0.90838023,0
FW,4,9.53,0,0,0.473883434,0
BW,6,9.53,0.565430559,0,0,0
FW,6,9.53,0,0,0.697765371,0
FW,1.5,9.53,0,0,0.088308986,0
BW,0.75,9.53,0.089702887,0,0,0
FW,0.5,9.53,0,0,0.088308986,0
BW,2,9.53,0.20258742,0,0,0
FW,2,9.53,0,0,0.250001497,0
BW,6,10,0.679719715,0,0,0
BW,1.5,10.15,0.028167522,0,0.057857612,0
FW,1.5,10.15,0,0,0.107341095,0
FW,1.5,10.31,0,0,0.107341095,0
BW,4,10.31,0.151152475,0,0.310475353,0
FW,4,10.31,0,0,0.576013484,0
BW,12,10.31,0.428331466,0,0.879815983,0
BW,6,10.97,0.222563092,0,0.457156622,0
BW,8,10.97,0.28974197,0,0.595145668,0
FW,1.5,10.97,0,0,0.107341095,0
FW,1.5,11.13,0,0,0.127895773,0
BW,3,11.13,0.117563036,0,0.308205796,0
FW,3,11.13,0,0,0.53379973,0
BW,4,11.13,0.151152475,0,0.396264595,0
BW,14,11.13,0.470252143,0,1.232823186,0
BW,0.5,12,0.028167522,0,0.086786418,0
FW,0.5,12.7,0,0,0.14997302,0
BW,0.75,12.7,0.035308583,0,0.108788608,0
FW,0.75,12.7,0,0,0.187994349,0
FW,1.5,12.7,0,0,0.14997302,0
BW,3,12.7,0.117563036,0,0.362221245,0
FW,3,12.7,0,0,0.625943731,0
FW,1,12.7,0,0,0.235168961,0
BW,2,12.7,0.079741857,0,0.245691126,0
